V(V),I(A)
-10.0,-2.1e-06
-9.8,-2.39e-06
-9.6,-2.35e-06
-9.4,-2.35e-06
-9.2,-2.35e-06
-9.0,-2.35e-06
-8.8,-2.34e-06
-8.6,-2.33e-06
-8.4,-2.32e-06
-8.2,-2.3e-06
-8.0,-2.29e-06
-7.8,-2.28e-06
-7.6,-2.27e-06
-7.4,-2.26e-06
-7.2,-2.25e-06
-7.0,-2.24e-06
-6.8,-2.23e-06
-6.6,-2.21e-06
-6.4,-2.2e-06
-6.2,-2.2e-06
-6.0,-2.18e-06
-5.8,-2.17e-06
-5.6,-2.16e-06
-5.4,-2.15e-06
-5.2,-2.14e-06
-5.0,-2.13e-06
-4.8,-2.12e-06
-4.6,-2.11e-06
-4.4,-2.1e-06
-4.2,-2.09e-06
-4.0,-2.08e-06
-3.8,-2.07e-06
-3.6,-2.06e-06
-3.4,-2.05e-06
-3.2,-2.04e-06
-3.0,-2.03e-06
-2.8,-2.02e-06
-2.6,-2.01e-06
-2.4,-2e-06
-2.2,-1.99e-06
-2.0,-1.98e-06
-1.8,-1.97e-06
-1.6,-1.95e-06
-1.4,-1.94e-06
-1.2,-1.93e-06
-1.0,-1.92e-06
-0.8,-1.91e-06
-0.6,-1.9e-06
-0.4,-1.9e-06
-0.2,-1.89e-06
0.0,-1.88e-06
0.2,-1.87e-06
0.4,-1.87e-06
0.6,-1.85e-06
0.8,-1.84e-06
1.0,-1.84e-06
1.2,-1.83e-06
1.4,-1.82e-06
1.6,-1.81e-06
1.8,-1.8e-06
2.0,-1.8e-06
2.2,-1.66e-06
2.4,-1.65e-06
2.6,-1.76e-06
2.8,-1.75e-06
3.0,-1.74e-06
3.2,-1.73e-06
3.4,-1.72e-06
3.6,-1.71e-06
3.8,-1.7e-06
4.0,-1.68e-06
4.2,-1.67e-06
4.4,-1.66e-06
4.6,-1.65e-06
4.8,-1.64e-06
5.0,-1.63e-06
5.2,-1.61e-06
5.4,-1.6e-06
5.6,-1.59e-06
5.8,-1.58e-06
6.0,-1.56e-06
6.2,-1.55e-06
6.4,-1.54e-06
6.6,-1.53e-06
6.8,-1.52e-06
7.0,-1.5e-06
7.2,-1.49e-06
7.4,-1.48e-06
7.6,-1.47e-06
7.8,-1.45e-06
8.0,-1.44e-06
8.2,-1.43e-06
8.4,-1.41e-06
8.6,-1.39e-06
8.8,-1.37e-06
9.0,-1.36e-06
9.2,-1.34e-06
9.4,-1.33e-06
9.6,-1.32e-06
9.8,-1.3e-06
10.0,-1.29e-06
10.2,-1.28e-06
10.4,-1.27e-06
10.6,-1.26e-06
10.8,-1.23e-06
11.0,-1.21e-06
11.2,-1.2e-06
11.4,-1.19e-06
11.6,-1.18e-06
11.8,-1.16e-06
12.0,-1.15e-06
12.2,-1.13e-06
12.4,-1.11e-06
12.6,-1.09e-06
12.8,-1.07e-06
13.0,-1.05e-06
13.2,-1.03e-06
13.4,-1.01e-06
13.6,-9.9e-07
13.8,-9.7e-07
14.0,-9.4e-07
14.2,-9.1e-07
14.4,-9e-07
14.6,-8.7e-07
14.8,-8.5e-07
15.0,-8.2e-07
15.2,-8e-07
15.4,-7.7e-07
15.6,-7.4e-07
15.8,-7.1e-07
16.0,-6.6e-07
16.2,-5.7e-07
16.4,-4.2e-07
16.6,-3.1e-07
16.8,-1.6e-07
17.0,-4e-08
17.2,1e-08
17.4,3e-08
17.6,5e-08
17.8,7e-08
18.0,1e-07
18.2,1.1e-07
18.4,1.3e-07
18.6,1.6e-07
18.8,1.7e-07
19.0,1.9e-07
19.2,2.1e-07
19.4,2.3e-07
19.6,2.6e-07
19.8,2.7e-07
20.0,3e-07
20.2,3.3e-07
20.4,3.5e-07
20.6,3.8e-07
20.8,4.1e-07
21.0,4.3e-07
21.2,4.6e-07
21.4,4.8e-07
21.6,4.9e-07
21.8,5.1e-07
22.0,5.3e-07
22.2,5.5e-07
22.4,5.7e-07
22.6,6e-07
22.8,6.2e-07
23.0,6.5e-07
23.2,6.8e-07
23.4,7e-07
23.6,7.3e-07
23.8,7.4e-07
24.0,7.7e-07
24.2,8e-07
24.4,8.3e-07
24.6,8.5e-07
24.8,8.8e-07
25.0,1.1e-06
25.2,1.11e-06
25.4,1.07e-06
25.6,1.13e-06
25.8,1.18e-06
26.0,1.21e-06
26.2,1.24e-06
26.4,1.28e-06
26.6,1.31e-06
26.8,1.35e-06
27.0,1.38e-06
27.2,1.41e-06
27.4,1.44e-06
27.6,1.48e-06
27.8,1.5e-06
28.0,1.53e-06
28.2,1.56e-06
28.4,1.59e-06
28.6,1.62e-06
28.8,1.64e-06
29.0,1.67e-06
29.2,1.7e-06
29.4,1.71e-06
29.6,1.74e-06
29.8,1.78e-06
30.0,1.81e-06
30.2,1.85e-06
30.4,1.89e-06
30.6,1.92e-06
30.8,1.95e-06
31.0,1.97e-06
31.2,2e-06
31.4,2.03e-06
31.6,2.05e-06
31.8,2.08e-06
32.0,2.34e-06
32.2,2.19e-06
32.4,2.23e-06
32.6,2.27e-06
32.8,2.31e-06
33.0,2.35e-06
33.2,2.37e-06
33.4,2.42e-06
33.6,2.47e-06
33.8,2.52e-06
34.0,2.58e-06
34.2,2.64e-06
34.4,2.68e-06
34.6,2.73e-06
34.8,2.76e-06
35.0,2.8e-06
35.2,2.83e-06
35.4,2.86e-06
35.6,2.89e-06
35.8,2.92e-06
36.0,2.95e-06
36.2,2.99e-06
36.4,3.03e-06
36.6,3.07e-06
36.8,3.11e-06
37.0,3.16e-06
37.2,3.2e-06
37.4,3.25e-06
37.6,3.3e-06
37.8,3.36e-06
38.0,3.43e-06
38.2,3.51e-06
38.4,3.62e-06
38.6,3.74e-06
38.8,3.87e-06
39.0,4.01e-06
39.2,4.18e-06
39.4,4.36e-06
39.6,4.55e-06
39.8,4.76e-06
40.0,4.98e-06
40.2,5.18e-06
40.4,5.38e-06
40.6,5.58e-06
40.8,5.78e-06
41.0,5.97e-06
41.2,6.17e-06
41.4,6.37e-06
41.6,6.57e-06
41.8,6.77e-06
42.0,6.98e-06
42.2,7.19e-06
42.4,7.39e-06
42.6,7.62e-06
42.8,7.92e-06
43.0,8.17e-06
43.2,8.42e-06
43.4,8.72e-06
43.6,9.1e-06
43.8,9.5e-06
44.0,9.98e-06
44.2,1.071e-05
44.4,1.143e-05
44.6,1.229e-05
44.8,1.33e-05
45.0,1.45e-05
45.2,1.586e-05
45.4,1.731e-05
45.6,1.899e-05
46.2,2.39e-05
46.4,2.55e-05
46.6,2.78e-05
46.8,2.99e-05
47.0,3.23e-05
47.2,3.5e-05
47.4,3.82e-05
47.6,4.23e-05
47.8,4.65e-05
48.0,5.08e-05
48.2,5.56e-05
48.4,6.17e-05
48.6,6.81e-05
48.8,7.45e-05
49.0,8.11e-05
49.2,8.77e-05
49.4,9.42e-05
49.6,0.0001012
49.8,0.0001069
50.0,0.0001143
50.2,0.0001203
50.4,0.0001265
50.6,0.0001322
50.8,0.0001379
51.0,0.0001433
51.2,0.0001486
51.4,0.0001539
51.6,0.000159
51.8,0.000164
52.0,0.000169
52.2,0.0001737
52.4,0.0001787
52.6,0.0001834
52.8,0.0001879
53.0,0.0001926
53.2,0.0001973
54.0,0.000217
54.2,0.00022
54.4,0.000224
54.8,0.00023
55.4,0.000244
55.6,0.000248
55.8,0.000252
56.0,0.000255
56.2,0.000259
56.4,0.000263
56.6,0.000267
56.8,0.00027
57.0,0.000274
57.2,0.000277
57.4,0.000281
57.6,0.000284
57.8,0.000287
58.0,0.000291
58.2,0.000294
58.4,0.000298
58.6,0.000302
58.8,0.000306
59.0,0.000311
59.2,0.000315
59.4,0.000319
59.6,0.000323
59.8,0.000328
60.0,0.000332
